City,Latitude,Longitude,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Country,Date
namatanai,-3.6692,152.4064,79.41199999999995,82,32,3.17,PG,1663247074
cape town,-33.9249,18.4241,71.38399999999999,50,100,3.58,ZA,1663247075
hermanus,-34.4092,19.2504,69.18800000000005,79,99,4.0,ZA,1663247076
toamasina,-18.1443,49.3958,73.70600000000003,68,80,4.26,MG,1663247077
kapaa,22.0947,-159.3246,71.726,79,40,2.57,US,1663247078
tuktoyaktuk,69.4454,-133.0342,36.89600000000005,71,100,8.5,CA,1663247079
mar del plata,-38.0055,-57.5426,57.25399999999995,77,0,5.36,AR,1663247080
hobart,-42.8826,147.3257,51.27799999999996,90,0,0.0,AU,1663246992
ribeira grande,37.821,-25.5148,79.30399999999995,90,75,3.6,PT,1663247082
saskylakh,71.9543,114.1198,32.14399999999997,97,98,2.73,RU,1663247083
bayburt,40.2603,40.228,71.18599999999998,19,13,2.31,TR,1663247084
mahebourg,-20.406,57.7034,74.71400000000003,74,0,7.93,MU,1663247085
illoqqortoormiut,70.4856,-21.9629,35.311999999999955,80,17,1.58,GL,1663247086
saldanha,-33.0277,17.9176,61.88000000000004,79,100,6.94,ZA,1663247088
ushuaia,-54.8019,-68.303,44.492,42,20,8.75,AR,1663247089
arani,12.6713,79.2818,86.21600000000001,55,100,2.22,IN,1663247090
luderitz,-26.642,15.1639,73.14800000000002,48,6,2.89,NA,1663247091
dikson,73.5077,80.531,36.806000000000026,96,33,7.91,RU,1663247092
port elizabeth,-33.9608,25.6022,70.01600000000002,79,13,4.47,ZA,1663247093
airai,7.3642,134.5361,80.97799999999997,83,75,2.57,PW,1663247094
abu kamal,34.4653,40.9082,94.424,20,0,5.01,SY,1663247095
sao filipe,14.8952,-24.4946,79.73599999999996,85,89,4.78,CV,1663247095
praia,14.9331,-23.5133,82.27400000000002,80,55,5.95,CV,1663247096
mataura,-46.194,168.8655,46.742,96,100,3.32,NZ,1663247097
bardiyah,31.758,25.0792,79.358,52,0,5.15,LY,1663247098
vaini,-21.1935,-175.1752,72.12200000000004,94,75,1.54,TO,1663247099
condega,13.365,-86.3959,70.60999999999999,95,72,1.48,NI,1663247100
butaritari,3.1167,172.8,81.392,78,42,5.36,KI,1663247101
thompson,55.7451,-97.8509,43.25,89,0,1.71,CA,1663247101
strezhevoy,60.7236,77.5809,49.58599999999997,78,52,2.07,RU,1663247102
havre-saint-pierre,50.2418,-63.5986,48.83000000000004,93,100,10.29,CA,1663247103
cairns,-16.9203,145.771,75.41600000000001,69,100,2.57,AU,1663247104
samarai,-10.612,150.6641,80.78000000000004,84,38,5.9,PG,1663247105
sorland,67.6636,12.6927,53.851999999999975,82,0,9.26,NO,1663247106
zhigalovo,54.813,105.1528,47.73200000000001,70,100,1.32,RU,1663247107
leningradskiy,69.3683,178.4167,35.725999999999985,99,100,1.56,RU,1663247108
laguna,33.5427,-117.7854,69.35,86,8,0.45,US,1663247109
yellowknife,62.454,-114.3718,48.48800000000004,81,30,2.68,CA,1663247109
asau,-13.5191,-172.6294,81.03200000000001,79,49,9.89,WS,1663247111
punta arenas,-53.1634,-70.9078,39.758,70,75,7.72,CL,1663247112
georgetown,38.9076,-77.0723,71.49199999999999,80,20,6.17,US,1663247113
san fernando,34.2819,-118.439,67.49600000000005,86,100,2.06,US,1663247114
kahului,20.8893,-156.4729,78.06199999999995,73,75,1.54,US,1663247115
santa rosa,38.4404,-122.7141,56.3,88,100,1.54,US,1663247116
aldan,39.9215,-75.288,69.96199999999996,71,20,7.72,US,1663247117
jamestown,37.2116,-76.7752,72.24800000000002,90,0,0.89,US,1663247118
alekseyevka,41.3753,48.5806,67.00999999999999,66,91,3.34,AZ,1663247120
faanui,-16.4867,-151.7429,77.108,76,68,9.98,PF,1663247122
saint-georges,47.7678,-117.471,56.13800000000005,73,40,1.54,US,1663247123
saint-philippe,-21.3595,55.7665,75.05600000000004,78,29,6.23,RE,1663247125
yarmouth,41.7056,-70.2287,65.35399999999996,65,0,8.23,US,1663247126
port alfred,-33.5864,26.8851,72.53599999999997,74,91,2.24,ZA,1663247126
busselton,-33.6516,115.3473,57.25399999999995,75,100,3.99,AU,1663247127
avarua,-21.2129,-159.7823,73.14800000000002,64,20,8.23,CK,1663247129
tiksi,71.6375,128.8645,33.403999999999954,74,22,4.9,RU,1663247130
albany,42.6526,-73.7562,59.03599999999997,73,20,6.17,US,1663247130
vaitupu,-7.4767,178.6748,81.78800000000004,75,17,4.68,TV,1663247132
ahuimanu,21.4374,-157.8296,76.98200000000003,83,20,1.54,US,1663247132
esperance,-33.8614,121.8913,58.064000000000036,80,84,11.42,AU,1663247133
bredasdorp,-34.5385,20.0569,73.79600000000005,54,78,6.04,ZA,1663247134
chake chake,-5.2505,39.7807,80.07799999999997,64,58,6.15,TZ,1663247135
ponta grossa,-25.0996,-50.1584,54.53599999999997,95,100,2.96,BR,1663247136
tasiilaq,65.6135,-37.6336,43.39399999999997,76,100,2.4,GL,1663247136
atuona,-9.8029,-139.0398,77.234,69,58,7.47,PF,1663247137
broome,-17.9618,122.237,79.01600000000002,69,92,3.6,AU,1663247138
vestmannaeyjar,63.4377,-20.2673,52.898000000000025,82,40,3.09,IS,1663247139
barentsburg,78.0648,14.2335,34.285999999999966,91,100,1.11,SJ,1663247140
port hawkesbury,45.6276,-61.3586,63.08599999999997,76,100,8.23,CA,1663247141
lompoc,34.6392,-120.4579,61.214000000000034,96,100,0.0,US,1663247142
ossora,59.2331,163.0675,46.09399999999997,69,100,1.95,RU,1663247143
rikitea,-23.1223,-134.9692,70.01600000000002,68,0,3.56,PF,1663247144
nome,64.5006,-165.4086,48.542,87,100,7.72,US,1663247145
rocha,-33.969,-54.0215,59.774000000000015,81,57,3.73,UY,1663247146
carnarvon,-24.8838,113.6571,66.46999999999997,67,100,10.85,AU,1663247147
husavik,66.045,-17.3383,46.20199999999998,55,0,0.41,IS,1663247148
grand river south east,-20.2888,57.7814,74.62400000000002,74,0,7.82,MU,1663247150
ponta do sol,32.6855,-17.0864,82.45399999999995,73,48,2.65,PT,1663247150
daru,38.8996,-76.9839,71.69000000000003,78,20,6.17,US,1663247151
bainbridge,47.6249,-122.521,60.70999999999998,86,100,0.45,US,1663247152
shadrinsk,56.0868,63.6294,64.184,40,100,4.56,RU,1663247153
upernavik,72.7863,-56.1376,40.19000000000002,95,100,5.33,GL,1663247154
kalmunai,7.4144,81.8306,81.89600000000004,77,10,4.62,LK,1663247155
sur,34.0812,-118.3853,69.76400000000004,88,100,2.06,US,1663247155
new norfolk,-42.7811,147.0623,51.22400000000002,69,100,0.57,AU,1663247156
usinsk,65.994,57.557,49.064000000000036,86,100,4.26,RU,1663247157
matara,5.9496,80.5469,79.7,81,0,4.73,LK,1663247158
puerto ayora,-0.7433,-90.3157,64.25600000000003,98,100,1.34,EC,1663247159
arlit,18.739,7.3895,105.29600000000005,12,16,1.82,NE,1663247160
taolanaro,-25.0225,46.9854,72.76999999999995,76,31,7.79,MG,1663247161
hithadhoo,-0.6095,73.0907,82.54399999999998,64,2,1.65,MV,1663247161
lagoa,37.1356,-8.4514,73.184,84,55,4.29,PT,1663247162
burhanpur,21.3145,76.218,77.0,90,100,5.83,IN,1663247163
chokurdakh,70.6222,147.9162,36.01400000000003,93,100,2.32,RU,1663247164
alotau,-10.3157,150.4588,77.234,93,63,2.29,PG,1663247165
mancio lima,-7.6135,-72.906,73.85,94,100,2.25,BR,1663247166
caapucu,-26.2323,-57.1859,64.94000000000003,55,0,2.97,PY,1663247168
chuy,-33.6928,-53.4553,60.51199999999996,78,46,3.38,BR,1663247169
mobaye,4.3203,21.1861,85.38800000000005,59,55,2.39,CF,1663247170
flinders,-38.4345,144.9726,53.29399999999997,91,28,6.39,AU,1663247171
quatre cocos,-20.2016,57.7743,74.67799999999997,74,0,8.03,MU,1663247172
katsuura,35.1522,140.3209,73.00399999999996,72,100,4.04,JP,1663247172
arraial do cabo,-22.9668,-42.0278,69.92599999999999,88,100,1.54,BR,1663247173
isangel,-19.5417,169.2803,71.90600000000003,86,35,5.82,VU,1663247174
mbanza-ngungu,-5.245,14.8571,82.30999999999997,49,99,4.32,CD,1663247176
kishanganj,26.0982,87.945,80.69000000000003,87,94,1.67,IN,1663247177
tura,40.7515,-73.9869,67.28000000000004,58,0,7.72,US,1663247178
sao joao da barra,-21.6268,-41.0192,77.35999999999999,74,16,4.38,BR,1663247179
rawson,-43.2999,-65.0995,65.49800000000002,33,100,8.34,AR,1663247180
araouane,18.9043,-3.5275,105.04399999999997,19,21,5.46,ML,1663247181
mount isa,-20.7264,139.493,73.50800000000001,33,40,2.06,AU,1663247182
taranagar,28.6715,75.0354,92.44399999999997,44,0,5.58,IN,1663247183
caconda,-13.7203,15.1259,89.15,13,100,2.99,AO,1663247184
nabire,-3.3722,135.5016,76.226,91,25,1.31,ID,1663247184
natal,-5.7842,-35.2,85.04600000000005,58,40,6.17,BR,1663247185
bambous virieux,-20.3439,57.7637,74.20999999999998,75,0,7.89,MU,1663247186
ust-kuyga,69.9967,135.5714,32.18000000000004,76,100,0.46,RU,1663247187
bethel,40.6098,-122.3584,57.685999999999964,73,0,0.0,US,1663247188
solnechnyy,50.7181,136.6376,47.13800000000005,79,5,1.33,RU,1663247189
cintalapa,16.686,-93.7286,69.63800000000005,99,100,0.34,MX,1663247190
alpatovo,43.7033,45.2431,76.85600000000002,37,50,3.62,RU,1663247190
awbari,26.581,12.794,97.41199999999996,12,0,1.81,LY,1663247191
klyuchi,56.322,160.8433,41.45,82,100,1.89,RU,1663247192
litovko,49.2426,135.1781,51.85399999999996,90,100,1.46,RU,1663247193
praia da vitoria,38.7339,-27.0647,78.02599999999998,94,100,5.7,PT,1663247194
merauke,-8.4991,140.405,79.62799999999996,83,99,6.28,ID,1663247194
geraldton,-28.7761,114.6113,52.358000000000004,87,99,2.57,AU,1663247195
qaanaaq,77.467,-69.2285,30.23599999999997,68,88,3.16,GL,1663247196
lebu,-37.608,-73.6515,54.067999999999984,79,100,4.34,CL,1663247197
north fort myers,26.6673,-81.8801,81.31999999999996,93,0,1.54,US,1663247198
klaksvik,62.2272,-6.5779,48.667999999999985,67,100,10.95,FO,1663247199
cabo san lucas,22.8905,-109.9167,77.25199999999998,83,3,3.56,MX,1663247200
iskateley,67.6766,53.1295,52.37599999999999,76,100,4.36,RU,1663247201
norman wells,65.2815,-126.8287,43.26799999999999,90,100,1.06,CA,1663247201
san lorenzo,37.6794,-122.1267,62.185999999999964,90,100,2.06,US,1663247202
clyde river,70.4764,-68.6013,39.272000000000034,87,95,0.71,CA,1663247203
hanmer springs,-42.5256,172.8289,35.564000000000036,84,4,2.52,NZ,1663247204
talnakh,69.5,88.4,44.99600000000005,90,100,9.62,RU,1663247205
baglung,28.2774,83.5816,65.73200000000003,91,100,1.77,NP,1663247206
beyneu,45.3222,55.1818,77.0,30,54,8.1,KZ,1663247207
qaqortoq,60.719,-46.0353,51.36799999999998,60,27,0.59,GL,1663247208
northam,-31.654,116.662,50.07200000000004,94,0,3.22,AU,1663247209
phetchaburi,12.9649,99.6426,75.12799999999996,82,100,2.04,TH,1663247210
east london,-33.0198,27.9039,71.65399999999995,66,1,5.76,ZA,1663247211
fort nelson,58.805,-122.6972,44.311999999999955,77,94,0.5,CA,1663247212
cherskiy,68.7427,161.3508,33.601999999999975,93,100,3.62,RU,1663247213
walvis bay,-22.9584,14.5058,61.358000000000004,61,47,5.42,NA,1663247216
victoria,-36.9848,143.3906,45.95,92,100,1.36,AU,1663247217
tautira,-17.7496,-149.1612,75.23599999999996,79,100,10.98,PF,1663247218
orange cove,36.6244,-119.3137,62.52799999999996,73,0,2.06,US,1663247219
pangnirtung,66.1466,-65.7012,39.992,97,100,1.81,CA,1663247220
muborak,39.26,65.1551,85.40600000000003,11,0,4.66,UZ,1663247220
guerrero negro,27.9592,-114.0566,70.46600000000001,77,100,6.58,MX,1663247221
katunki,56.8338,43.2171,56.94800000000002,80,100,2.03,RU,1663247222
komsomolskiy,67.5501,63.7828,49.85600000000003,77,100,4.64,RU,1663247223
socodor,46.5113,21.4354,79.17799999999997,42,100,7.17,RO,1663247224
san quintin,30.5609,-115.9379,67.94600000000005,82,99,4.84,MX,1663247225
sonamura,23.4754,91.2646,82.63399999999999,91,80,3.51,IN,1663247229
provideniya,64.4032,-173.2065,45.338000000000044,94,100,5.7,RU,1663247230
nemuro,43.3301,145.5828,62.438000000000045,61,100,1.42,JP,1663247230
north platte,41.1403,-100.7601,65.39000000000001,89,40,5.36,US,1663247231
olafsvik,64.896,-23.706,47.641999999999996,64,22,0.21,IS,1663247232
sitka,57.0532,-135.3346,50.14399999999998,87,20,2.57,US,1663247233
bubaque,11.2987,-15.8378,80.816,83,98,8.34,GW,1663247233
iqaluit,63.7467,-68.517,41.35999999999998,93,100,2.24,CA,1663247235
tsihombe,-25.3168,45.4863,78.29600000000005,58,0,7.7,MG,1663247235
muroto,33.29,134.1521,80.33000000000004,78,94,8.32,JP,1663247236
benguela,-12.5905,13.4165,77.70199999999997,68,100,4.92,AO,1663247237
tukrah,32.5326,20.5871,80.834,51,0,4.88,LY,1663247238
sao sebastiao,-23.8011,-45.4026,65.60600000000002,94,100,2.28,BR,1663247239
kulhudhuffushi,6.6262,73.0671,81.40999999999998,70,47,2.2,MV,1663247240
ilulissat,69.2198,-51.0986,43.358000000000004,93,100,1.54,GL,1663247241
tskneti,41.6987,44.6975,77.43200000000002,28,6,0.66,GE,1663247241
uige,-7.1737,15.4068,86.09000000000003,40,66,1.46,AO,1663247242
mukhen,48.1949,136.137,54.932000000000016,95,100,0.61,RU,1663247243
hirara,24.8218,125.3137,82.076,86,100,5.22,JP,1663247244
codrington,17.6426,-61.8204,83.44399999999997,78,99,9.37,AG,1663247246
mezen,65.1976,46.4131,49.11799999999998,96,100,2.93,RU,1663247248
cayenne,4.9224,-52.3135,86.18000000000004,70,75,3.09,GF,1663247249
beian,48.2415,126.4911,61.28599999999997,92,35,2.52,CN,1663247250
port loko,8.7687,-12.7854,82.076,82,100,1.87,SL,1663247252
ambon,-3.6387,128.1689,79.64600000000004,13,40,1.03,ID,1663247253
sadasivpet,17.6203,77.9539,76.15399999999995,81,99,4.55,IN,1663247254
umm lajj,25.0264,37.2708,89.05999999999997,62,0,7.09,SA,1663247254
curaca,12.1696,-68.99,87.89000000000001,62,40,4.63,CW,1663247255
aguada de pasajeros,22.3825,-80.8475,78.42200000000004,84,100,1.74,CU,1663247256
afmadu,0.5151,42.0757,88.64600000000004,39,99,6.81,SO,1663247257
ormara,25.2666,64.6096,81.93200000000002,85,13,7.72,PK,1663247258
moyale,3.54,39.0528,76.226,45,99,6.64,KE,1663247259
goleniow,53.5638,14.8284,67.74800000000002,82,40,5.14,PL,1663247260
hobyo,5.3516,48.525,80.33000000000004,71,73,12.7,SO,1663247261
bilibino,68.0536,166.4482,29.911999999999956,91,84,2.23,RU,1663247261
vallenar,-28.5758,-70.7571,69.674,26,0,1.3,CL,1663247262
troyes,48.2973,4.0744,70.05199999999998,56,75,3.6,FR,1663247263
aykhal,65.9417,111.4881,37.508,95,100,8.45,RU,1663247264
turje,46.9854,17.1,71.65399999999995,77,100,4.24,HU,1663247265
mazagao,-0.1155,-51.2878,91.72400000000002,58,81,2.46,BR,1663247266
nebolchi,59.1209,33.3387,58.424000000000014,69,83,3.74,RU,1663247267
ponazyrevo,58.3567,46.3155,48.41600000000001,95,100,3.81,RU,1663247268
khatanga,71.964,102.4406,34.538000000000046,84,100,3.54,RU,1663247269
ancud,-41.8675,-73.8277,52.88000000000004,97,100,9.56,CL,1663247270
morehead,38.184,-83.4327,61.934,100,0,0.0,US,1663247271
ottawa,45.4215,-75.6972,51.56600000000001,76,3,1.34,CA,1663247272
huarmey,-10.0664,-78.1507,62.780000000000044,79,92,1.45,PE,1663247273
necochea,-38.5545,-58.7396,60.09800000000003,57,12,7.57,AR,1663247273
oranjemund,-28.5515,16.4272,67.36999999999996,55,0,6.48,NA,1663247274
hilo,19.7216,-155.0849,77.82799999999997,94,100,0.89,US,1663247275
castro marim,37.2179,-7.4423,75.52400000000002,63,52,4.93,PT,1663247276
sentyabrskiy,60.4955,72.2081,54.82400000000001,68,99,1.53,RU,1663247277
flin flon,54.7751,-101.8494,42.92599999999999,86,0,0.6,CA,1663247278
port blair,11.6234,92.7265,81.23000000000005,81,34,6.58,IN,1663247279
inhambane,-23.8662,35.3827,75.48800000000006,56,0,4.71,MZ,1663247280
umm durman,15.6476,32.4807,97.98800000000004,32,74,0.38,SD,1663247280
amderma,69.7512,61.6637,43.51999999999996,76,100,3.64,RU,1663247281
zhangye,38.9259,100.4498,71.43800000000005,49,100,4.2,CN,1663247282
la ronge,55.1082,-105.286,45.59000000000002,76,0,1.6,CA,1663247284
morant bay,17.8887,-76.3898,86.792,76,95,4.58,JM,1663247285
vila velha,-20.3518,-40.308,77.25199999999998,78,75,4.63,BR,1663247286
rapid valley,44.0625,-103.1463,62.690000000000026,75,75,5.14,US,1663247287
wanning,18.7953,110.3898,80.52799999999996,83,4,1.96,CN,1663247288
narsaq,60.913,-46.0505,50.59399999999997,50,13,1.49,GL,1663247289
yar-sale,66.8626,70.8545,54.48200000000001,63,100,5.3,RU,1663247290
urdzhar,47.087,81.6315,55.148000000000025,31,0,3.32,KZ,1663247291
tres arroyos,-38.3775,-60.2752,63.446000000000055,40,10,8.54,AR,1663247292
warqla,31.9527,5.3335,109.41799999999999,9,0,4.95,DZ,1663247292
hofn,64.2497,-15.202,48.48800000000004,76,20,3.6,IS,1663247293
girard,41.1539,-80.7015,63.89600000000005,83,40,3.6,US,1663247294
tonj,7.2675,28.679,88.71799999999999,54,75,1.39,SS,1663247295
barreirinha,-2.7999,-57.0684,93.434,40,15,2.38,BR,1663247296
dwarka,22.2442,68.9685,82.958,85,100,7.87,IN,1663247297
kushmurun,52.6833,64.8,61.88000000000004,32,100,5.37,KZ,1663247297
yerbogachen,61.2777,108.0137,44.024000000000015,81,100,1.34,RU,1663247298
carutapera,-1.2057,-46.0207,84.59600000000006,65,100,3.9,BR,1663247299
humaita,-7.517,-63.0299,82.20199999999997,67,77,2.47,BR,1663247300
kyakhta,50.3493,106.482,48.61400000000003,68,100,5.52,RU,1663247301
zolotinka,56.1855,124.8637,39.398000000000025,60,100,1.66,RU,1663247302
ushtobe,45.2415,77.9726,60.20600000000003,20,0,8.75,KZ,1663247303
pevek,69.7029,170.307,35.6,88,99,2.47,RU,1663247304
turukhansk,65.7959,87.9624,48.685999999999964,75,100,8.58,RU,1663247305
ust-tsilma,65.4339,52.1541,51.29600000000005,87,100,2.84,RU,1663247306
yakeshi,49.2856,120.7117,58.064000000000036,48,6,2.64,CN,1663247306
bjornevatn,69.6675,29.9872,48.811999999999955,93,75,4.63,NO,1663247307
the valley,34.1826,-118.4397,67.78399999999999,87,100,2.06,US,1663247309
pontianak,-0.0263,109.3425,79.01600000000002,88,75,2.06,ID,1663247311
kodiak,57.79,-152.4072,46.18399999999999,93,75,0.0,US,1663247312
sao pedro do sul,40.7598,-8.0641,75.29000000000002,64,58,1.79,PT,1663247314
waingapu,-9.6647,120.2498,79.28599999999997,66,100,2.92,ID,1663247315
mbini,1.5831,9.6146,80.69000000000003,78,68,6.46,GQ,1663247316
mandalgovi,45.7632,106.265,61.17799999999997,54,2,3.85,MN,1663247317
maniitsoq,65.4077,-52.9006,43.60999999999998,98,100,4.8,GL,1663247317
pathein,16.7754,94.7381,77.14399999999998,91,81,3.13,MM,1663247318
kindu,-2.9492,25.9231,83.42599999999999,62,99,0.63,CD,1663247319
hengyang,26.8932,112.572,78.458,37,8,2.22,CN,1663247320
zhigansk,66.7521,123.3941,34.016000000000005,77,40,3.24,RU,1663247321
caravelas,-17.7337,-39.2653,81.98599999999996,61,99,2.83,BR,1663247322
nhulunbuy,-12.1835,136.7861,79.60999999999999,83,62,2.57,AU,1663247323
port lincoln,-34.7226,135.8597,54.57200000000004,86,83,9.87,AU,1663247324
torbay,50.4619,-3.5253,66.434,68,18,4.02,GB,1663247325
samusu,-14.0057,-171.43,79.96999999999997,74,28,8.29,WS,1663247326
hervey bay,-25.2882,152.7677,67.40600000000003,73,100,4.92,AU,1663247327
mogadishu,2.0469,45.3182,78.99800000000002,75,11,7.47,SO,1663247329
gainesville,29.6516,-82.3248,77.342,85,75,4.12,US,1663247315
coquimbo,-29.959,-71.3389,55.54399999999997,87,20,1.03,CL,1663247331
abha,18.2465,42.5117,81.01400000000004,42,40,4.12,SA,1663247332
karratha,-20.7337,116.8447,74.28200000000001,46,0,4.87,AU,1663247333
ambilobe,-13.2026,49.0514,85.96400000000003,35,59,2.57,MG,1663247334
kruisfontein,-33.9843,24.7321,69.674,39,63,5.38,ZA,1663247336
orapa,-21.312,25.4023,85.1,17,0,4.24,BW,1663247337
progreso,21.2812,-89.6652,77.41400000000004,87,96,3.67,MX,1663247338
vidim,56.4033,103.1071,42.674000000000014,68,88,1.76,RU,1663247338
naze,51.8667,1.2833,66.308,60,100,2.24,GB,1663247339
nanortalik,60.1425,-45.2395,48.90199999999997,82,100,4.01,GL,1663247340
puerto escondido,15.872,-97.0767,73.50800000000001,73,100,2.06,MX,1663247341
attawapiskat,52.9259,-82.4289,44.50999999999998,64,100,1.21,CA,1663247342
tashtagol,52.7591,87.8473,44.258,91,100,1.03,RU,1663247343
porto velho,-8.7636,-63.8972,79.08800000000005,57,0,4.63,BR,1663247343
dunedin,28.0197,-82.7718,79.19600000000005,90,0,2.68,US,1663247344
sile,41.1749,29.6096,85.35199999999998,28,4,1.79,TR,1663247345
milkovo,54.687,158.6173,44.86999999999996,66,100,1.74,RU,1663247346
sosnogorsk,63.5892,53.927,51.530000000000044,84,100,3.24,RU,1663247346
kuytun,44.4269,84.9017,64.83200000000002,27,0,2.95,CN,1663247347
sayat,45.8265,3.0525,74.11999999999996,57,75,3.6,FR,1663247348
ceres,-33.4007,19.295,75.00199999999998,28,31,2.4,ZA,1663247349
outjo,-20.1128,16.161,91.63399999999999,10,15,5.51,NA,1663247350
