City,Latitude,Longitude,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Country,Date
ondorhaan,47.3178,110.6535,65.89399999999998,43,82,2.59,MN,1663247351
shimoda,34.6796,138.9451,72.24800000000002,76,100,4.94,JP,1663247120
wakkanai,45.4156,141.6734,62.95999999999998,76,100,3.9,JP,1663247353
lavrentiya,65.5835,-171.0389,43.285999999999966,92,52,5.55,RU,1663247354
alta floresta,-9.8682,-56.0835,87.27799999999996,47,1,2.91,BR,1663247355
deputatskiy,69.3026,139.9584,28.66999999999996,97,100,1.18,RU,1663247356
haines junction,60.7525,-137.5102,41.61199999999995,88,100,1.13,CA,1663247357
da nang,16.0545,108.0717,76.892,88,20,3.09,VN,1663247358
ucluelet,48.9416,-125.5463,53.167999999999985,92,59,1.2,CA,1663247359
souillac,44.8936,1.4786,82.81400000000004,38,80,3.97,FR,1663247360
touros,-5.2001,-35.4591,83.56999999999996,58,42,7.24,BR,1663247361
espanola,35.991,-106.0818,59.18000000000004,68,2,0.72,US,1663247363
mbour,14.4228,-16.9654,88.89800000000002,55,27,1.84,SN,1663247364
carbonia,39.1644,8.5229,88.86199999999997,58,100,5.0,IT,1663247364
playa vicente,17.8304,-95.8132,72.392,95,100,0.51,MX,1663247365
sakaiminato,35.5397,133.2316,76.67599999999999,90,61,4.18,JP,1663247367
severo-kurilsk,50.6683,156.1152,49.26199999999996,86,14,4.91,RU,1663247368
los llanos de aridane,28.6577,-17.9122,75.12799999999996,81,20,6.17,ES,1663247369
arrifes,37.7604,-25.7013,78.00800000000001,88,75,3.6,PT,1663247370
vestbygda,68.3472,15.5103,53.76199999999996,67,70,4.86,NO,1663247371
taga,30.5347,-97.8064,70.23200000000003,83,14,1.54,US,1663247372
henties bay,-22.1135,14.2832,65.31799999999998,73,12,5.83,NA,1663247373
ukiah,39.1502,-123.2078,55.30999999999998,86,0,0.0,US,1663247374
urozhayne,48.2417,38.847,67.71199999999996,53,100,8.23,UA,1663247375
oyama,36.3147,139.8001,72.48200000000003,65,100,2.32,JP,1663247375
palabuhanratu,-6.989,106.5524,77.84600000000006,88,49,2.58,ID,1663247376
aasiaat,68.707,-52.8591,38.69600000000005,97,85,4.29,GL,1663247377
port-cartier,50.0213,-66.876,48.32599999999999,86,100,11.55,CA,1663247378
marrakesh,31.6295,-7.9811,82.63399999999999,44,40,3.09,MA,1663247380
nantucket,41.2835,-70.0995,66.52400000000002,61,47,10.92,US,1663247381
dembi dolo,8.5333,34.8017,67.08200000000002,79,91,1.7,ET,1663247381
high level,58.5071,-117.1403,44.096000000000046,71,8,2.37,CA,1663247382
winchester,51.0598,-1.3101,65.69600000000005,57,75,2.57,GB,1663247383
auki,-8.7679,160.696,79.91600000000001,76,44,2.5,SB,1663247384
umzimvubu,-30.7782,28.9529,84.52400000000002,13,98,5.93,ZA,1663247384
cockburn town,21.4675,-71.1389,86.12599999999999,62,40,5.14,TC,1663247385
horsham,40.1784,-75.1285,68.86400000000003,67,0,6.69,US,1663247387
sambava,-14.2713,50.1678,74.76799999999999,71,99,7.32,MG,1663247387
aksarka,66.5619,67.8015,55.38200000000002,58,100,4.66,RU,1663247388
jumla,29.2889,82.3018,49.693999999999974,96,100,0.72,NP,1663247389
alegrete,-29.7838,-55.7937,60.42200000000004,72,0,5.53,BR,1663247390
bengkulu,-3.7928,102.2608,77.576,87,52,2.16,ID,1663247390
namibe,-15.1978,12.1576,72.17599999999999,75,36,5.04,AO,1663247391
jiangyou,31.7569,104.7246,68.50399999999996,93,82,0.63,CN,1663247392
ostrozac,44.9115,15.9259,74.78599999999997,59,100,5.26,BA,1663247394
san policarpo,12.2047,125.4782,80.41999999999996,84,100,2.98,PH,1663247396
urumqi,43.8266,87.6169,60.56600000000001,29,0,3.0,CN,1663247397
xining,36.6173,101.7778,63.96799999999999,61,100,1.01,CN,1663247397
cidreira,-30.1769,-50.2089,63.266000000000005,78,15,3.54,BR,1663247399
tabiauea,0.9182,173.028,81.71600000000001,70,92,6.1,KI,1663247400
anupgarh,29.1812,73.1999,100.49000000000002,26,11,2.53,IN,1663247400
prince rupert,54.315,-130.3208,55.75999999999998,82,100,2.57,CA,1663247401
hambantota,6.1429,81.1212,83.35399999999996,70,5,8.22,LK,1663247402
ostersund,63.1767,14.6361,52.91600000000001,87,75,4.12,SE,1663247403
warmbad,-28.449,18.7334,91.49000000000002,6,0,1.56,NA,1663247405
hualmay,-11.0883,-77.6107,62.38399999999999,76,95,2.38,PE,1663247407
ngukurr,-14.7338,134.7323,77.05399999999995,76,5,4.78,AU,1663247409
lagos,6.5244,3.3792,82.38200000000002,74,98,6.65,NG,1663247409
coteana,44.3016,24.4548,88.79000000000002,22,73,7.26,RO,1663247410
tutoia,-2.7632,-42.2755,84.50600000000003,60,1,6.95,BR,1663247412
chadiza,-14.0636,32.4382,80.6,30,100,3.8,ZM,1663247413
fort-shevchenko,44.5076,50.2624,67.67599999999999,59,27,3.75,KZ,1663247414
sinnamary,5.3768,-52.9589,85.118,67,97,4.61,GF,1663247416
jaciara,-15.9677,-54.9677,75.48800000000006,64,100,2.52,BR,1663247417
sanming,26.2638,117.6392,77.82799999999997,65,98,0.3,CN,1663247417
chernukha,55.6028,43.7632,54.23000000000005,81,85,4.1,RU,1663247418
sofiysk,51.5678,139.8454,43.03399999999999,68,4,2.45,RU,1663247419
sembe,1.6202,14.8455,81.71600000000001,72,100,1.7,CG,1663247420
tashigang,31.8411,78.6778,54.89600000000005,68,89,3.74,CN,1663247421
tuatapere,-46.1316,167.6897,44.36600000000001,87,100,4.89,NZ,1663247421
kaitangata,-46.2858,169.8461,43.682000000000016,86,100,5.86,NZ,1663247422
leh,34.1526,77.5771,65.24600000000005,22,32,3.37,IN,1663247423
montrose,38.4783,-107.8762,55.16600000000001,97,68,3.0,US,1663247424
soderhamn,61.3056,17.0628,57.21799999999999,75,76,0.47,SE,1663247425
jalu,29.0406,21.4991,91.63399999999999,22,0,2.09,LY,1663247425
sabha,27.0365,14.429,95.48599999999996,14,0,0.17,LY,1663247426
astoria,46.1879,-123.8313,57.83000000000004,91,100,2.06,US,1663247427
teya,21.0509,-89.0739,76.80199999999998,92,74,1.68,MX,1663247428
asyut,27.1783,31.1859,94.424,17,0,6.52,EG,1663247430
hasaki,40.7297,-73.9888,67.55000000000001,57,0,7.72,US,1663247432
catia la mar,10.5894,-67.0494,86.64800000000002,83,15,2.0,VE,1663247432
nanchang,28.682,115.8579,78.476,58,65,0.96,CN,1663247392
nizhneyansk,71.4501,136.1122,35.47400000000001,80,99,3.98,RU,1663247435
luzhou,28.8717,105.4426,71.56400000000004,89,89,0.96,CN,1663247437
hami,42.8185,93.5154,69.69200000000001,30,4,11.32,CN,1663247439
talara,-4.5812,-81.2629,64.68800000000005,77,40,8.23,PE,1663247440
bredy,29.8053,-95.2906,79.17799999999997,73,0,4.63,US,1663247441
omsukchan,62.5094,155.7859,32.377999999999965,81,19,2.38,RU,1663247442
novyy urengoy,66.0957,76.6564,52.30399999999995,71,100,6.6,RU,1663247443
alugan,12.2131,125.47,80.33000000000004,84,100,2.94,PH,1663247444
dzhusaly,45.4852,64.0819,73.83200000000002,14,0,7.72,KZ,1663247445
mitsamiouli,-11.3872,43.2981,76.35199999999998,74,55,0.91,KM,1663247445
cockburn harbour,21.4998,-71.5323,86.25199999999998,68,100,8.22,TC,1663247446
longyearbyen,78.2232,15.6267,36.01400000000003,87,75,0.0,SJ,1663247447
ravar,31.2633,56.8072,94.08200000000002,9,0,5.43,IR,1663247448
trofors,65.5351,13.407,57.34399999999997,88,100,1.85,NO,1663247449
antofagasta,-23.6509,-70.3975,58.29800000000003,58,3,0.95,CL,1663247450
puerto el triunfo,13.2767,-88.5493,77.108,88,100,1.88,SV,1663247451
muncar,-8.4349,114.3192,75.70399999999995,89,19,1.62,ID,1663247452
tumannyy,68.8789,35.6675,51.16999999999996,80,100,5.86,RU,1663247453
tuggurt,33.105,6.0663,108.5,10,0,3.73,DZ,1663247454
yenagoa,4.9514,6.3492,82.79600000000005,75,97,3.56,NG,1663247455
biak,-1.0381,135.9801,76.00999999999999,90,6,1.02,ID,1663247456
lyuban,52.7918,27.9993,66.55999999999997,61,100,4.12,BY,1663247457
grand gaube,-20.0142,57.6694,75.88399999999999,62,0,4.47,MU,1663247458
fortuna,40.5982,-124.1573,56.62400000000001,90,30,1.42,US,1663247459
balkanabat,39.5239,54.336,89.20399999999995,17,11,4.15,TM,1663247460
okmulgee,35.6267,-95.9515,63.446000000000055,68,100,2.35,US,1663247461
kokuy,54.7042,60.1671,60.27799999999996,34,100,6.8,RU,1663247462
tatvan,38.502,42.2813,75.97400000000002,14,0,3.42,TR,1663247463
berlevag,70.8581,29.0858,44.86999999999996,87,100,10.29,NO,1663247464
beringovskiy,63.0611,179.3485,44.708000000000006,95,100,6.11,RU,1663247465
pipri,24.2012,83.0227,75.434,93,99,3.76,IN,1663247466
wamba,41.675,-4.9176,73.68800000000005,61,40,1.54,ES,1663247466
naters,46.3239,7.9917,77.14399999999998,58,60,3.23,CH,1663247467
marzuq,30.4627,-84.2822,73.868,86,0,2.06,US,1663247468
nyaunglebin,17.956,96.724,76.118,94,45,1.94,MM,1663247469
langarud,37.1952,50.1546,71.924,79,80,2.68,IR,1663247470
freetown,8.4657,-13.2317,81.82400000000001,74,75,3.09,SL,1663247471
rio pardo de minas,-15.6151,-42.5433,88.142,17,1,4.23,BR,1663247472
luhyny,51.0837,28.4005,56.714000000000034,99,100,0.82,UA,1663247473
mwene-ditu,-7.009,23.4538,83.89399999999998,44,100,2.37,CD,1663247474
yeletskiy,67.042,64.2374,50.80999999999998,80,100,4.18,RU,1663247475
petropavlovsk-kamchatskiy,53.0584,158.6321,43.39399999999997,100,75,3.0,RU,1663247477
betare oya,5.592,14.0856,78.53000000000004,78,100,1.28,CM,1663247478
naryan-mar,67.671,53.1078,52.34000000000002,76,100,4.38,RU,1663247479
ruidoso,33.3673,-105.6588,55.435999999999964,76,25,3.09,US,1663247480
georgiyevka,55.2161,53.7197,62.564000000000036,41,100,2.58,RU,1663247481
faya,17.9237,19.1107,107.45600000000003,8,7,7.97,TD,1663247482
luanda,-8.8147,13.2302,81.46400000000003,69,20,3.09,AO,1663247483
chimbote,-9.0633,-78.589,61.627999999999965,82,100,1.68,PE,1663247484
bandarbeyla,9.4986,50.8105,82.50800000000001,71,0,14.81,SO,1663247485
francisco beltrao,-26.0811,-53.0531,62.76199999999996,78,69,1.86,BR,1663247486
miri,4.3995,113.9914,79.12400000000002,83,100,1.78,MY,1663247487
saleaula,-13.4483,-172.3367,80.6,80,43,9.74,WS,1663247488
otane,-39.8962,176.6279,38.20999999999998,93,0,0.84,NZ,1663247488
lenoir city,35.7973,-84.256,66.41600000000001,88,0,0.89,US,1663247489
morondava,-20.2904,44.3,79.44800000000004,72,0,6.25,MG,1663247491
kununurra,-15.7783,128.7439,82.59800000000003,61,0,4.12,AU,1663247491
svetlogorsk,54.9395,20.1585,59.03599999999997,70,85,10.57,RU,1663247492
seoul,37.5682,126.9778,80.31199999999995,67,100,1.73,KR,1663247411
boali,4.6644,18.2081,86.21600000000001,64,100,1.72,CF,1663247494
baykit,61.6834,96.3806,39.91999999999996,94,21,0.78,RU,1663247495
varberg,57.1071,12.2521,63.21199999999996,69,11,6.93,SE,1663247496
christchurch,-43.532,172.6306,45.211999999999954,78,5,5.14,NZ,1663247496
salisbury,38.3607,-75.5994,72.21199999999996,84,0,3.6,US,1663247497
kenora,49.767,-94.4894,50.917999999999985,99,100,4.92,CA,1663247498
nortelandia,-14.4537,-56.8004,77.30600000000004,56,87,3.55,BR,1663247499
agva,41.1387,29.8561,86.97200000000004,36,3,4.78,TR,1663247500
tadine,-21.5477,167.881,69.98000000000005,68,100,4.22,NC,1663247501
cascais,38.6971,-9.4223,76.62200000000004,88,20,12.96,PT,1663247501
piacabucu,-10.4059,-36.4316,81.15800000000002,67,40,6.04,BR,1663247502
zyryanka,65.7674,150.8412,38.858000000000004,63,100,3.4,RU,1663247503
pringsewu,-5.3331,104.9856,75.75800000000001,90,96,1.72,ID,1663247504
barcelos,41.5321,-8.6191,75.18200000000002,61,39,1.19,PT,1663247505
tucuman,-26.8083,-65.2176,64.52599999999998,25,0,4.63,AR,1663247506
marsh harbour,26.5242,-77.091,84.75800000000001,69,100,5.97,BS,1663247507
zacualpan,18.7189,-99.776,55.79600000000005,92,100,1.25,MX,1663247508
portales,34.1862,-103.3344,63.37400000000001,92,1,3.13,US,1663247509
methoni,36.8199,21.7063,86.61199999999997,58,0,6.02,GR,1663247510
havoysund,70.9976,24.664,46.903999999999954,94,100,12.57,NO,1663247510
baruun-urt,46.6653,113.2877,64.68800000000005,49,36,4.51,MN,1663247511
biltine,14.5333,20.9167,93.93800000000005,38,72,2.14,TD,1663247512
dudinka,69.4065,86.1764,45.71600000000001,84,61,9.24,RU,1663247513
sorong,-0.8762,131.2558,80.27599999999998,77,100,0.83,ID,1663247514
hay river,60.8162,-115.7854,50.26999999999996,66,20,3.6,CA,1663247515
dharchula,29.8473,80.5369,74.28200000000001,94,100,0.33,IN,1663247515
makakilo city,21.3446,-158.0866,75.95600000000003,78,0,1.54,US,1663247516
sikonge,-5.6229,32.7548,91.958,18,92,2.24,TZ,1663247517
mys shmidta,68.8931,-179.4126,36.193999999999974,98,100,3.01,RU,1663247518
axim,4.8665,-2.2409,80.13200000000002,75,98,4.17,GH,1663247519
hamina,60.5693,27.1878,58.62200000000004,81,98,5.37,FI,1663247520
kavieng,-2.5781,150.8086,81.91400000000004,73,92,5.14,PG,1663247520
bargal,11.2855,51.0763,88.51999999999995,53,85,7.29,SO,1663247521
tilichiki,60.4333,166.0486,38.76799999999999,78,0,3.64,RU,1663247522
dotnuva,55.3661,23.8868,64.13000000000005,67,99,6.43,LT,1663247523
ixtapa,17.6626,-101.5873,77.14399999999998,83,75,0.0,MX,1663247524
iralaya,14.9975,-83.2252,82.02200000000005,82,28,5.09,HN,1663247525
dubbo,-32.2444,148.6144,57.650000000000006,88,100,7.72,AU,1663247526
killybegs,54.6348,-8.4547,58.748000000000026,62,87,5.8,IE,1663247528
prachuap khiri khan,11.7938,99.7958,80.15,77,97,4.94,TH,1663247528
enshi,30.2722,109.4882,72.28399999999999,78,82,1.03,CN,1663247529
hoopstad,-27.8395,25.935,82.77799999999996,17,0,3.22,ZA,1663247530
dandong,39.9998,124.356,65.174,98,100,2.85,CN,1663247531
aksay,51.1749,53.0211,70.77200000000005,42,26,8.96,KZ,1663247532
paraibano,-6.4319,-43.9882,93.86600000000001,37,24,2.36,BR,1663247533
jiddah,21.4858,39.1925,96.98000000000005,54,87,7.56,SA,1663247534
igrim,63.1967,64.4226,56.53399999999999,58,100,2.71,RU,1663247535
muros,42.8074,-9.0461,77.80999999999997,57,20,3.22,ES,1663247536
salvador,13.7942,-88.8965,73.00399999999996,98,100,1.06,SV,1663247537
vila franca do campo,37.7157,-25.4345,79.46600000000001,82,98,6.79,PT,1663247539
ahipara,-35.1713,173.1533,50.12599999999999,75,36,3.51,NZ,1663247539
port hardy,50.7207,-127.4969,52.016000000000005,93,100,1.54,CA,1663247540
paamiut,61.9941,-49.6666,45.05,78,100,2.29,GL,1663247541
barhiya,25.2836,86.0173,87.60199999999998,65,96,1.5,IN,1663247542
taree,-31.8889,152.444,59.01799999999999,100,100,1.54,AU,1663247543
chumikan,54.7165,135.3084,47.75,65,100,1.44,RU,1663247544
sao miguel do tapuio,-5.5022,-41.3212,92.96600000000001,35,6,3.38,BR,1663247545
tawkar,18.426,37.7275,102.12799999999997,19,8,8.25,SD,1663247545
lagoa santa,-19.6447,-43.9045,78.16999999999996,50,0,3.6,BR,1663247546
pacific grove,36.6177,-121.9166,59.377999999999965,90,75,0.89,US,1663247548
jiangkou,27.7001,108.8392,74.04800000000003,65,8,1.1,CN,1663247548
barawe,1.1162,44.0318,79.86199999999997,73,7,7.22,SO,1663247549
baiyin,36.5447,104.1377,73.47200000000004,41,100,3.51,CN,1663247550
rantepao,-2.9704,119.8986,66.01999999999995,98,86,0.65,ID,1663247551
rawannawi,2.0517,173.2633,82.076,69,56,6.03,KI,1663247552
krasnoselkup,65.6946,82.5256,49.90999999999998,77,100,9.3,RU,1663247553
batagay,67.6625,134.6544,35.22200000000004,66,100,1.56,RU,1663247555
anloga,5.7872,0.8914,80.49199999999999,77,53,7.0,GH,1663247556
port-gentil,-0.7351,8.7591,84.45199999999997,65,75,7.72,GA,1663247557
san benito,26.1326,-97.6311,79.17799999999997,85,0,0.0,US,1663247558
vigrestad,58.571,5.6818,53.924000000000014,72,98,14.47,NO,1663247558
tifton,31.4505,-83.5085,70.03399999999999,85,0,1.54,US,1663247560
kananga,-5.8975,22.4172,84.29000000000002,54,99,1.03,CD,1663247561
khipro,25.8258,69.3771,103.35199999999998,23,37,4.26,PK,1663247562
nalut,31.8742,10.975,95.684,17,0,3.46,LY,1663247563
kamenka,53.1916,43.9857,53.25800000000001,77,92,3.41,RU,1663247564
ho chi minh city,10.8231,106.6297,84.48800000000006,70,40,3.6,VN,1663247530
sainte-rose,16.3335,-61.6983,86.14399999999998,79,75,3.6,GP,1663247565
canmore,51.0899,-115.3441,46.63399999999999,96,9,5.14,CA,1663247566
mehamn,71.0357,27.8489,44.81600000000001,87,100,6.69,NO,1663247567
aranos,-24.1378,19.1107,90.80600000000004,11,58,4.67,NA,1663247568
chino valley,34.7575,-112.4538,59.01799999999999,78,75,0.0,US,1663247569
dingle,52.1409,-10.264,60.656000000000034,71,82,5.13,IE,1663247570
alofi,-19.0554,-169.9179,77.61199999999997,74,89,7.29,NU,1663247570
narasannapeta,18.4164,84.0459,81.40999999999998,87,100,3.51,IN,1663247571
coruripe,-10.125,-36.1761,80.15,70,13,5.9,BR,1663247572
severo-yeniseyskiy,60.3744,93.0294,38.56999999999996,90,72,0.74,RU,1663247573
verkhnevilyuysk,63.4454,120.3277,34.483999999999995,80,13,1.17,RU,1663247574
sandpoint,48.2766,-116.5535,53.725999999999985,98,40,0.0,US,1663247575
zhanakorgan,43.9082,67.2418,79.23200000000003,15,41,1.67,KZ,1663247575
adrar,28.0174,-0.2642,109.61600000000001,7,4,2.66,DZ,1663247129
omboue,-1.5752,9.2592,78.74600000000005,75,99,4.75,GA,1663247577
dolgorukovo,52.3217,38.3463,62.34800000000003,59,55,2.88,RU,1663247578
ulaanbaatar,47.8864,106.9057,52.10600000000003,66,40,1.0,MN,1663247579
swan hill,-35.3403,143.5441,50.70199999999998,59,100,1.43,AU,1663247580
biscarrosse,44.3947,-1.1642,78.99800000000002,53,0,5.66,FR,1663247581
belmonte,39.558,-2.7056,76.80199999999998,45,74,3.66,ES,1663247582
tuy hoa,13.1057,109.295,79.934,84,100,1.75,VN,1663247583
kiunga,-6.1203,141.2998,74.01199999999996,98,26,1.12,PG,1663247584
te anau,-45.4144,167.718,39.55999999999998,92,97,0.73,NZ,1663247584
wairoa,-39.0352,177.4181,41.21600000000001,94,4,1.34,NZ,1663247585
roma,41.9028,12.4964,83.642,67,40,10.29,IT,1663247586
ust-kamchatsk,56.2275,162.4693,45.30199999999998,77,94,3.39,RU,1663247587
sehithwa,-20.4727,22.7003,90.28399999999999,11,0,4.23,BW,1663247588
marsa matruh,31.3543,27.2373,80.90600000000003,50,0,5.89,EG,1663247589
olavarria,-36.8937,-60.3233,59.25199999999998,64,3,6.1,AR,1663247589
amarante do maranhao,-5.5695,-46.7481,91.59800000000003,42,10,2.53,BR,1663247590
lorengau,-2.0298,147.2744,82.14800000000002,75,33,4.77,PG,1663247591
montepuez,-13.134,38.9981,84.97400000000002,29,100,3.14,MZ,1663247593
great falls,38.9987,-77.2539,72.03200000000001,83,40,3.6,US,1663247594
toliary,-23.3516,43.6855,78.44000000000003,59,2,5.52,MG,1663247595
jvari,42.7091,42.0491,73.976,48,69,2.16,GE,1663247596
burica,8.034,-82.8684,78.89000000000001,82,97,2.52,PA,1663247597
ozgon,40.7674,73.3031,79.71799999999999,14,0,1.61,KG,1663247598
kavaratti,10.5593,72.6358,81.17599999999999,77,100,4.41,IN,1663247598
landeck,47.1406,10.5656,77.30600000000004,78,96,2.16,AT,1663247599
yebaishou,41.405,119.6367,61.627999999999965,92,75,1.55,CN,1663247600
ostrovnoy,68.0603,39.474,51.943999999999974,76,100,5.8,RU,1663247601
bogotol,56.2138,89.5382,42.04399999999997,66,22,2.33,RU,1663247602
wajir,1.7488,40.0586,90.17599999999999,32,83,9.36,KE,1663247603
nordhausen,51.4984,10.7931,63.446000000000055,56,100,6.83,DE,1663247604
noumea,-22.2735,166.4481,62.54600000000005,68,68,2.38,NC,1663247604
mae sai,20.4225,99.9186,74.58800000000005,97,33,0.59,TH,1663247605
rudesheim,49.9821,7.9301,70.60999999999999,62,100,4.08,DE,1663247606
horodnya,51.8911,31.5959,58.71199999999996,95,100,4.66,UA,1663247607
gizo,-8.1058,156.835,81.19399999999997,78,12,3.67,SB,1663247608
borgarnes,64.5609,-21.901,48.34399999999997,50,77,0.72,IS,1663247609
saint-pierre,46.7758,-56.1806,64.63399999999999,94,20,6.17,PM,1663247610
baijiantan,45.6873,85.1321,66.97400000000002,20,0,2.22,CN,1663247611
salta,-24.7821,-65.4232,57.83000000000004,38,0,1.79,AR,1663247612
tsumeb,-19.2443,17.7281,89.50999999999999,10,0,6.74,NA,1663247613
chittaurgarh,24.8829,74.623,80.65399999999995,79,63,2.33,IN,1663247614
acari,-6.4351,-36.6409,85.45999999999998,42,5,6.96,BR,1663247615
ginir,7.1387,40.7116,72.64399999999998,48,83,3.76,ET,1663247616
ningxiang,28.2774,112.5518,74.69600000000005,41,6,0.6,CN,1663247617
betong,5.78,101.0372,71.02400000000002,94,58,0.54,TH,1663247618
kirs,59.34,52.2413,59.45,53,100,4.65,RU,1663247619
richards bay,-28.7807,32.0383,87.96199999999996,37,0,6.03,ZA,1663247619
verkhnyaya inta,65.9844,60.3211,52.44800000000002,75,100,3.31,RU,1663247621
benin,9.3077,2.3158,73.56199999999995,95,100,2.04,BJ,1663247622
kachiry,53.0695,76.1038,56.227999999999966,44,94,2.64,KZ,1663247625
chicama,-7.848,-79.1407,57.938000000000045,82,91,1.29,PE,1663247626
egvekinot,66.3237,-179.1225,39.50600000000003,96,100,6.84,RU,1663247627
